127.0.0.1, 2018-03-30 22:52:01, GET, /, HTTP/1.1, 303, 0.000986
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/default/index, HTTP/1.1, 200, 1.030717
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000778
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000615
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000586
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000540
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000572
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000604
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000540
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000647
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000432
127.0.0.1, 2018-03-30 22:52:02, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2018-03-30 22:52:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001076
127.0.0.1, 2018-03-30 22:52:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000711
127.0.0.1, 2018-03-30 22:52:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002209
127.0.0.1, 2018-03-30 22:52:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000902
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/default/site, HTTP/1.1, 303, 0.203912
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/default/index, HTTP/1.1, 200, 0.032238
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.000772
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.000558
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003393
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.004469
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004170
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000412
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000534
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000495
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001066
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000556
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000698
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000612
127.0.0.1, 2018-03-30 22:59:48, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000516
127.0.0.1, 2018-03-30 22:59:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
127.0.0.1, 2018-03-30 22:59:58, POST, /admin/default/index, HTTP/1.1, 303, 0.010772
